iter	Passed	Remaining
0	270	53769
1	395	39182
2	501	32950
3	610	29927
4	723	28232
5	833	26937
6	940	25943
7	1058	25394
8	1186	25188
9	1308	24863
10	1445	24842
11	1555	24367
12	1662	23918
13	1769	23507
14	1874	23113
15	1979	22767
16	2088	22482
17	2194	22183
18	2304	21954
19	2423	21815
20	2528	21556
21	2638	21345
22	2746	21134
23	2858	20960
24	2968	20777
25	3079	20609
26	3185	20409
27	3297	20254
28	3413	20128
29	3524	19969
30	3634	19814
31	3744	19656
32	3859	19530
33	3968	19376
34	4079	19230
35	4190	19088
36	4324	19049
37	4458	19006
38	4566	18850
39	4678	18713
40	4790	18576
41	4900	18436
42	5010	18293
43	5121	18156
44	5227	18006
45	5364	17959
46	5509	17935
47	5643	17872
48	5773	17792
49	5884	17652
50	5995	17515
51	6111	17393
52	6229	17278
53	6375	17237
54	6502	17142
55	6612	17003
56	6718	16855
57	6824	16707
58	6931	16564
59	7038	16422
60	7149	16292
61	7260	16159
62	7375	16039
63	7487	15910
64	7599	15783
65	7711	15656
66	7816	15516
67	7924	15382
68	8033	15251
69	8146	15129
70	8252	14994
71	8366	14873
72	8471	14738
73	8587	14621
74	8708	14514
75	8820	14390
76	8932	14268
77	9038	14136
78	9148	14011
79	9262	13893
80	9383	13785
81	9517	13695
82	9628	13573
83	9743	13455
84	9852	13329
85	9963	13207
86	10075	13087
87	10186	12965
88	10304	12851
89	10413	12727
90	10524	12605
91	10640	12491
92	10751	12370
93	10865	12252
94	10974	12129
95	11080	12003
96	11188	11880
97	11311	11773
98	11422	11653
99	11535	11535
100	11641	11411
101	11748	11287
102	11861	11170
103	11969	11048
104	12074	10924
105	12203	10821
106	12338	10724
107	12496	10645
108	12640	10553
109	12792	10466
110	12936	10372
111	13045	10250
112	13152	10126
113	13264	10006
114	13373	9884
115	13487	9766
116	13595	9644
117	13704	9523
118	13818	9405
119	13930	9286
120	14045	9169
121	14155	9050
122	14274	8935
123	14386	8817
124	14506	8704
125	14620	8586
126	14733	8469
127	14842	8349
128	14975	8242
129	15093	8127
130	15208	8010
131	15325	7894
132	15435	7775
133	15572	7669
134	15683	7551
135	15792	7431
136	15901	7312
137	16010	7193
138	16122	7075
139	16236	6958
140	16343	6838
141	16453	6720
142	16563	6602
143	16677	6485
144	16793	6370
145	16932	6262
146	17063	6152
147	17193	6041
148	17312	5925
149	17435	5811
150	17545	5693
151	17658	5576
152	17767	5457
153	17884	5342
154	17996	5224
155	18102	5105
156	18218	4989
157	18326	4871
158	18436	4754
159	18546	4636
160	18655	4519
161	18768	4402
162	18877	4285
163	18983	4167
164	19092	4049
165	19208	3934
166	19321	3818
167	19439	3702
168	19544	3585
169	19654	3468
170	19767	3352
171	19876	3235
172	19985	3119
173	20091	3002
174	20204	2886
175	20318	2770
176	20424	2654
177	20532	2537
178	20639	2421
179	20747	2305
180	20863	2190
181	20967	2073
182	21075	1957
183	21190	1842
184	21299	1726
185	21416	1612
186	21527	1496
187	21638	1381
188	21749	1265
189	21865	1150
190	21976	1035
191	22085	920
192	22194	804
193	22303	689
194	22415	574
195	22525	459
196	22630	344
197	22740	229
198	22848	114
199	22966	0
